DrugBank_ID,PubChem_CID,SMILES
DB01167,55283.0,CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5COC(O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl
DB00572,174174.0,CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3
DB00921,644073.0,CC(C)(C)C(C)(C1CC23CCC1(C4C25CCN(C3CC6=C5C(=C(C=C6)O)O4)CC7CC7)OC)O
DB09272,11250029.0,CC1=CC(=CC(=C1CC(C(=O)N(CC2=CC(=C(C=C2)OC)C(=O)O)C(C)C3=NC=C(N3)C4=CC=CC=C4)N)C)C(=O)N
DB01026,3823.0,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl
DB08865,11626560.0,CC(C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N
DB00999,3639.0,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl
DB01114,2725.0,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2
DB09042,11476460.0,CN1N=C(N=N1)C2=NC=C(C=C2)C3=C(C=C(C=C3)N4CC(OC4=O)COP(=O)(O)O)F
DB00381,2162.0,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN
DB00717,6230.0,CC12CCC3C(C1CCC2(C#C)O)CCC4=CC(=O)CCC34
DB00673,135413536.0,CC(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)OC2C(N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F
DB08918,6917779.0,CCN(CC)C(=O)C1(CC1CN)C2=CC=CC=C2
DB01215,3261.0,C1C2=NN=CN2C3=C(C=C(C=C3)Cl)C(=N1)C4=CC=CC=C4
DB00305,5746.0,CC1=C(C(=O)C2=C(C1=O)N3CC4C(C3(C2COC(=O)N)OC)N4)N
DB01100,16362.0,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F
DB06201,129228.0,C1=CC(=C(C(=C1)F)CN2C=C(N=N2)C(=O)N)F
DB01095,1548972.0,CC(C)N1C2=CC=CC=C2C(=C1C=CC(CC(CC(=O)O)O)O)C3=CC=C(C=C3)F
DB01393,39042.0,CC(C)(C(=O)O)OC1=CC=C(C=C1)CCNC(=O)C2=CC=C(C=C2)Cl
DB09072,23663870.0,C(CC(=O)[O-])CO.[Na+]
DB00983,3410.0,CC(CC1=CC=C(C=C1)OC)NCC(C2=CC(=C(C=C2)O)NC=O)O
DB01223,9433.0,CN1C2=C(C(=O)N(C1=O)C)NC=N2.CN1C2=C(C(=O)N(C1=O)C)NC=N2.C(CN)N
DB00865,5311017.0,CC(CC1=CC=CC=C1)N(C)CC2=CC=CC=C2
DB01623,941651.0,CN1CCN(CC1)CCC=C2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)(=O)N(C)C
DB00211,4195.0,COC1=CC(=C(C=C1)OC)C(CNC(=O)CN)O
DB00316,1983.0,CC(=O)NC1=CC=C(C=C1)O
DB00422,4158.0,COC(=O)C(C1CCCCN1)C2=CC=CC=C2
DB00876,5281037.0,CCCCC1=NC=C(N1CC2=CC=C(C=C2)C(=O)O)C=C(CC3=CC=CS3)C(=O)O
DB00366,3162.0,CC(C1=CC=CC=C1)(C2=CC=CC=N2)OCCN(C)C
DB01189,42113.0,C(C(F)(F)F)(OC(F)F)F
DB00997,31703.0,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O
DB04905,108092.0,CCN(CC)CCOC1=CC=C(C=C1)CC2=CC=CC=C2
DB00177,60846.0,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)C(C(C)C)C(=O)O
DB09401,12597.0,C1C(C2C(O1)C(CO2)O)O
DB01211,84029.0,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O
DB00603,6279.0,CC1CC2C(CCC3(C2CCC3(C(=O)C)OC(=O)C)C)C4(C1=CC(=O)CC4)C
DB01268,5329102.0,CCN(CC)CCNC(=O)C1=C(NC(=C1C)C=C2C3=C(C=CC(=C3)F)NC2=O)C
DB01394,2833.0,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC
